,id,name,absolute_magnitude_h,estimated_diameter_kilometers,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_km/s,miss_distance_kilometers,orbiting_body
48,3773744,(2017 FB157),27.7,0.0171,False,2025-01-11,12.9242,52134330,Earth
49,3795086,(2017 YQ5),24.7,0.0682,False,2025-01-11,12.4714,32292968,Earth
50,3797456,(2018 AN2),24.8,0.0652,False,2025-01-11,11.3933,24393068,Earth
51,3836886,(2018 XA4),29.0,0.0094,False,2025-01-11,9.0792,59918690,Earth
52,54144373,(2021 JY3),28.45,0.0121,False,2025-01-11,4.3864,31047814,Earth
53,54375205,(2023 OA),26.45,0.0305,False,2025-01-11,19.3209,68965285,Earth
54,54514248,(2025 AF1),27.78,0.0165,False,2025-01-11,4.8618,1787901,Earth
55,54515075,(2025 AV2),26.183,0.0345,False,2025-01-11,16.8502,2979899,Earth
56,54515857,(2025 AW3),24.268,0.0833,False,2025-01-11,6.1871,19144161,Earth
57,54516006,(2025 AZ3),25.917,0.039,False,2025-01-11,8.2153,228152,Earth
58,2497113,497113 (2004 EK1),22.28,0.208,False,2025-01-10,6.2743,29822591,Earth
59,3167343,(2003 WP7),23.45,0.1214,False,2025-01-10,11.7118,22656870,Earth
60,3684344,(2014 QK362),21.66,0.2767,False,2025-01-10,15.8709,55920536,Earth
61,3702319,(2014 YD),24.32,0.0813,False,2025-01-10,4.7349,14974808,Earth
62,3797861,(2018 BM3),21.92,0.2455,True,2025-01-10,22.8424,21814635,Earth
63,54111251,(2021 CO3),25.78,0.0415,False,2025-01-10,14.7232,68380429,Earth
64,54244187,(2022 CD),26.11,0.0356,False,2025-01-10,15.2441,36194566,Earth
65,54327909,(2022 WW2),25.57,0.0457,False,2025-01-10,9.4349,48311249,Earth
66,54457674,(2024 MH2),23.5,0.1186,False,2025-01-10,9.5463,74093047,Earth
67,54458508,(2024 NA2),25.2,0.0542,False,2025-01-10,4.1099,18950130,Earth
68,54509633,(2024 YD5),26.265,0.0332,False,2025-01-10,7.1902,5778839,Earth
69,2457059,457059 (2008 EG),20.06,0.5781,False,2025-01-09,25.5301,46755732,Earth
70,3399548,(2008 AU28),24.8,0.0652,False,2025-01-09,10.7617,4811939,Earth
71,3553987,(2010 XQ69),23.3,0.13,False,2025-01-09,10.6316,42379872,Earth
72,3701880,(2014 XO7),26.8,0.0259,False,2025-01-09,8.919,55001479,Earth
73,3878578,(2019 TL2),24.4,0.0784,False,2025-01-09,5.1614,59495075,Earth
74,3892010,(2019 UE13),25.75,0.0421,False,2025-01-09,7.2246,52418994,Earth
75,54376020,(2023 OS3),27.74,0.0168,False,2025-01-09,3.0698,7617163,Earth
76,54445922,(2024 LQ1),25.51,0.047,False,2025-01-09,6.3343,26746165,Earth
77,54466137,(2024 PT5),27.42,0.0195,False,2025-01-09,1.0253,1800562,Earth
78,54500496,(2024 WS2),22.68,0.173,False,2025-01-09,13.0241,25225166,Earth
79,54512612,(2024 YW9),26.246,0.0335,False,2025-01-09,7.8248,1041282,Earth
80,54513044,(2024 YD13),25.852,0.0401,False,2025-01-09,7.267,5602847,Earth
