,id,name,absolute_magnitude_h,kilometers estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity kilometers_per_second,miss_distance kilometers,orbiting_body
104,2226514,226514 (2003 UX34),20.2,0.5420507863,True,2025-01-07,16.5489938368,18491518.333246633,Earth
105,2438017,438017 (2003 YO3),18.59,1.1377320144,False,2025-01-07,15.2767515162,12136340.455513685,Earth
106,2481442,481442 (2006 WO3),21.58,0.2871044863,False,2025-01-07,21.6488761177,58239736.599652437,Earth
107,3485806,(2010 AL60),22.4,0.1968067451,False,2025-01-07,8.9892899764,9414486.602453294,Earth
108,3723888,(2015 NU2),20.91,0.3908768761,True,2025-01-07,19.1336306591,73466998.517538915,Earth
109,3771633,(2017 FZ2),26.6,0.0284472297,False,2025-01-07,7.6348283529,43675472.560049036,Earth
110,3792462,(2017 YD),25.5,0.0472106499,False,2025-01-07,4.9143049327,10536583.499046209,Earth
111,3837883,(2019 AO12),25.6,0.0450858206,False,2025-01-07,24.2782093228,72072116.412508345,Earth
112,3842657,(2019 KJ4),27.4,0.0196806745,False,2025-01-07,9.5250407801,49392413.894222798,Earth
113,54340445,(2023 BO8),26.66,0.0276719637,False,2025-01-07,14.959320276,44602775.422232652,Earth
114,54509167,(2024 YH4),22.557,0.1830796101,False,2025-01-07,22.5099210873,13059866.719469151,Earth
115,54509629,(2024 YZ4),21.685,0.2735520532,False,2025-01-07,27.6437185619,19239009.477460172,Earth
116,54512615,(2024 YZ9),25.126,0.0560841289,False,2025-01-07,8.5342378924,3620695.929913525,Earth
117,54513036,(2024 YW12),23.577,0.1144563728,False,2025-01-07,13.6583947338,14908349.133741117,Earth
